             x             y             z          prec          calc          diff    n loc
  1.000000e+00  1.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  1.998401e-14    0 border
  1.000000e+00  1.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  9.769963e-15    1 border
  2.500000e+00  1.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  9.059420e-14    2 border
  2.500000e+00  1.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  6.306067e-14    3 border
  4.000000e+00  1.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  1.554312e-13    4 border
  4.000000e+00  1.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  8.171241e-14    5 border
  5.500000e+00  1.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  1.061373e-13    6 border
  5.500000e+00  1.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  3.730349e-14    7 border
  7.000000e+00  1.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  2.486900e-14    8 border
  7.000000e+00  1.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  8.881784e-16    9 border
  1.000000e+00  2.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  7.283063e-14   10 border
  1.000000e+00  2.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  1.776357e-14   11 border
  2.500000e+00  2.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  3.108624e-13   12 border
  2.500000e+00  2.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  8.970602e-14   13 border
  4.000000e+00  2.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  4.316547e-13   14 border
  4.000000e+00  2.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  1.447731e-13   15 border
  5.500000e+00  2.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  4.027889e-13   16 border
  5.500000e+00  2.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  1.492140e-13   17 border
  7.000000e+00  2.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  8.570922e-14   18 border
  7.000000e+00  2.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  4.973799e-14   19 border
  1.000000e+00  4.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  7.682743e-14   20 border
  1.000000e+00  4.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  6.306067e-14   21 border
  2.500000e+00  4.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  1.501022e-13   22 border
  2.500000e+00  4.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  3.277378e-13   23 border
  4.000000e+00  4.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  6.661338e-14   24 border
  4.000000e+00  4.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  1.776357e-13   25 border
  5.500000e+00  4.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  3.090861e-13   26 border
  5.500000e+00  4.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  6.661338e-13   27 border
  7.000000e+00  4.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  8.926193e-14   28 border
  7.000000e+00  4.000000e+00  1.000000e+00  5.000000e+00  5.000000e+00  1.314504e-13   29 border
  1.000000e+00  5.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  1.483258e-13   30 border
  1.000000e+00  5.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  3.019807e-14   31 border
  2.500000e+00  5.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  6.381562e-13   32 border
  2.500000e+00  5.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  1.350031e-13   33 border
  4.000000e+00  5.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  3.721468e-13   34 border
  4.000000e+00  5.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  3.055334e-13   35 border
  5.500000e+00  5.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  5.786482e-13   36 border
  5.500000e+00  5.500000e+00  1.000000e+00  5.000000e+00  5.000000e+00  1.501022e-13   37 border
